evalNum,bestEvalValue_0,bestEvalValue_1,bestEvalValue_2
0,489938.2573,586180.4207,544029.8361
3000,148186.3405,140958.9576,95424.16499
6000,77478.00569,58380.66638,63258.23737
9000,38993.02841,47920.2854,41579.66058
12000,21041.99681,18151.76838,23160.39094
15000,6143.477356,15861.33612,8680.393966
18000,4935.597264,5785.550657,6182.066271
21000,4260.088264,3569.57521,2401.789045
24000,2017.757432,1630.58765,1939.338268
27000,926.5409044,942.72367,1030.674893
30000,627.4021873,449.8496957,508.093873
33000,213.0439347,352.7927667,369.9441089
36000,213.0439347,188.6334272,171.5006032
39000,81.87963488,104.5493988,131.7040854
42000,76.16228246,56.15048565,60.31169863
45000,34.95731969,21.05790022,41.20130866
48000,22.29277228,17.23599679,23.89549372
51000,11.42408437,7.698143889,11.25762062
54000,7.781719809,4.121283749,7.553097243
57000,4.455344581,3.678584182,4.365451459
60000,3.014778491,2.292410836,2.241149571
63000,1.652194316,0.904720657,0.868903906
66000,1.441776084,0.76610962,0.973001363
69000,1.156614994,0.460186338,0.765172545
72000,0.856107798,0.371462584,0.421966071
75000,0.624752294,0.216405995,0.353853157
78000,0.357973811,0.21889808,0.246156245
81000,0.226009439,0.153340508,0.123526967
84000,0.123236809,0.096976571,0.072212849
87000,0.067257068,0.060629059,0.038016159
90000,0.04392451,0.039196234,0.024358651
93000,0.032970312,0.013251339,0.015339428
96000,0.017583902,0.012064751,0.008147034
99000,0.008710678,0.004791086,0.004645878
102000,0.007599645,0.002619125,0.001604377
105000,0.006102699,0.001273128,0.001527867
108000,0.003270689,9.30E-04,6.01E-04
111000,0.001431021,6.77E-04,6.01E-04
114000,0.001034137,2.84E-04,3.68E-04
117000,4.66E-04,2.69E-04,1.55E-04
120000,2.29E-04,9.41E-05,1.55E-04
123000,1.73E-04,5.61E-05,8.03E-05
126000,9.30E-05,4.34E-05,3.78E-05
129000,5.70E-05,2.09E-05,2.92E-05
132000,4.91E-05,1.67E-05,1.27E-05
135000,1.90E-05,9.04E-06,6.31E-06
138000,1.53E-05,6.04E-06,3.97E-06
141000,7.70E-06,1.93E-06,3.69E-06
144000,5.49E-06,1.38E-06,1.43E-06
147000,2.97E-06,1.38E-06,8.36E-07
150000,1.29E-06,5.47E-07,5.05E-07
153000,9.13E-07,4.05E-07,2.42E-07
156000,4.44E-07,1.84E-07,1.68E-07
159000,4.07E-07,1.38E-07,
162000,2.46E-07,1.09E-07,
165000,1.47E-07,,
