evalNum,bestEvalValue_0
0,489938.257340348
1000,135152.77483589415
2000,99188.00212581748
3000,80412.8366645916
4000,37624.17150798877
5000,26135.433429466248
6000,15926.658215382917
7000,11514.703469058557
8000,8206.47636479299
9000,6669.330419122927
10000,3008.6691187310553
11000,2438.769043547227
12000,1647.7006639176466
13000,841.6494761670979
14000,710.7880156464267
15000,487.87012549848424
16000,267.7366251334746
17000,241.84462054173468
18000,182.96140468474573
19000,90.37249166693
20000,41.490066846043966
21000,41.490066846043966
22000,20.896238767065924
23000,20.334232987210996
24000,14.199033380099062
25000,4.916808420231343
26000,3.5333787067675257
27000,4.841614236841516
28000,2.123359090109703
29000,1.7003288257346885
30000,0.8491045381768891
31000,0.8491045381768891
32000,0.7127067541106124
33000,0.449343835928421
34000,0.44618245713100063
35000,0.3005194916644028
36000,0.2631131957189482
37000,0.22592631782693368
38000,0.19189915688827194
39000,0.12079327991077106
40000,0.10189436369127251
41000,0.08239176593545272
42000,0.06349277734580505
43000,0.03435499857761559
44000,0.025615474151595125
45000,0.015456563154814246
46000,0.013332188233380473
47000,0.009442625378106813
48000,0.006884473277312671
49000,0.0054950516206813665
50000,0.0037486896493981736
51000,0.004157682237786496
52000,0.002866601275972523
53000,0.0022639567099526896
54000,0.0019004559511834088
55000,0.0014342300810832194
56000,0.0011291523883592074
57000,8.415063231360253E-4
58000,6.916707265370766E-4
59000,5.374791034136297E-4
60000,4.6789305904233774E-4
61000,3.6399191947811407E-4
62000,2.5476733752331863E-4
63000,1.727929034923107E-4
64000,9.169192413743209E-5
65000,6.603143944990038E-5
66000,5.4503982807581225E-5
67000,3.291432545204709E-5
68000,2.2698314893470164E-5
69000,1.8920118756637718E-5
70000,1.0595970097390921E-5
71000,9.449004675654057E-6
72000,6.543026177163877E-6
73000,5.0475274391220495E-6
74000,3.5932820428176894E-6
75000,2.334531171803518E-6
76000,1.1195475810813797E-6
77000,1.257694772885091E-6
78000,7.656740505673092E-7
79000,4.491948951043206E-7
80000,3.073831914629463E-7
81000,2.9723834478404123E-7
82000,1.9258205992666397E-7
83000,1.1241022537345163E-7
