evalNum,bestEvalValue_0
0,489938.257340348
1000,163528.2170992621
2000,163528.2170992621
3000,21934.84882958266
4000,21934.84882958266
5000,21934.84882958266
6000,21934.84882958266
7000,30213.10576745516
8000,27195.006935298934
9000,10902.93859631816
10000,6801.045904155446
11000,6801.045904155446
12000,6801.045904155446
13000,5820.510410117527
14000,4762.846197626881
15000,4143.977181362982
16000,3792.9937042648858
17000,2966.2284394564413
18000,1682.676508573991
19000,984.3754212458911
20000,984.3754212458911
21000,724.3016198005525
22000,460.3717415149336
23000,395.30104472636106
24000,405.09142069157326
25000,222.60996716292024
26000,190.58633186912414
27000,189.01245982757843
28000,110.35325807837866
29000,95.40650365524307
30000,88.11125125394706
31000,86.23322522763486
32000,56.983278026376766
33000,44.23366571198606
34000,21.760073610189714
35000,21.760073610189714
36000,19.824139809194904
37000,8.13702827886959
38000,12.616090627253381
39000,11.209269187231845
40000,7.378156705943641
41000,4.783939588299269
42000,3.0557957870117276
43000,3.0557957870117276
44000,2.7173529439272426
45000,1.8636344587903593
46000,1.6730899474745204
47000,1.163919380747258
48000,1.163919380747258
49000,0.7398375552917067
50000,0.6576023559260423
51000,0.7398375552917067
52000,0.5711361657422773
53000,0.5711361657422773
54000,0.561658701405425
55000,0.41466353709175413
56000,0.33355692413036686
57000,0.33355692413036686
58000,0.2931970641011638
59000,0.266797159845491
60000,0.2334767620260924
61000,0.2334767620260924
62000,0.19401710718828868
63000,0.1486791176304491
64000,0.1486791176304491
65000,0.13397262192274162
66000,0.12949518325416737
67000,0.09891889277943275
68000,0.09796440547979217
69000,0.0848713764343715
70000,0.06697147422210699
71000,0.053718933931737746
72000,0.04485215861380958
73000,0.03723136483985288
74000,0.028209867342386792
75000,0.023157976471593972
76000,0.023616495021089843
77000,0.018491879282507534
78000,0.009883287852870359
79000,0.009517793458570047
80000,0.007361915321109043
81000,0.005505806815334318
82000,0.005505806815334318
83000,0.0031273769107944866
84000,0.0031273769107944866
85000,0.0026233175314875315
86000,0.002170882865587697
87000,0.0013495240561610584
88000,9.694471982701424E-4
89000,7.416244590682136E-4
90000,7.623410604240106E-4
91000,5.505257887090798E-4
92000,3.887497770318574E-4
93000,3.005130964926554E-4
94000,3.005130964926554E-4
95000,2.5676024796129026E-4
96000,1.3493575484178783E-4
97000,1.2216034639820717E-4
98000,1.2216034639820717E-4
99000,7.977166042498894E-5
100000,6.700690345830443E-5
101000,6.0274966507922306E-5
102000,3.919518481644973E-5
103000,2.8145297634387398E-5
104000,2.8145297634387398E-5
105000,2.026743621658809E-5
106000,1.4412335964861542E-5
107000,1.389810237117263E-5
108000,1.2150596882855276E-5
109000,9.197607852980007E-6
110000,6.257052427218728E-6
111000,5.300363303656423E-6
112000,3.1181560034465492E-6
113000,3.345547036238299E-6
114000,2.8530348806691263E-6
115000,1.812359861126521E-6
116000,1.5472635866535505E-6
117000,1.0248162453324842E-6
118000,1.0248162453324842E-6
119000,7.285611209518702E-7
120000,2.9297138216174723E-7
121000,2.9297138216174723E-7
122000,2.2964279107322507E-7
123000,2.2964279107322507E-7
124000,1.0208677261871215E-7
125000,2.090450233619336E-7
126000,1.686389758696887E-7
127000,1.0582910165268884E-7
