evalNum,bestEvalValue_2
0,544029.8361082735
1000,146859.76482645606
2000,139753.4984148582
3000,103884.75445535999
4000,96059.68743474947
5000,68209.456490939
6000,59105.98722781348
7000,30373.569282663684
8000,27617.834610455517
9000,16807.00267460514
10000,16807.00267460514
11000,14406.68444391159
12000,5853.605070502101
13000,5660.458727766641
14000,3996.533833928317
15000,3886.8113089712556
16000,3886.8113089712556
17000,3017.130358866894
18000,2475.88048680249
19000,1099.3944144793056
20000,1040.698788656684
21000,893.3945974956046
22000,888.9957050384373
23000,459.88946831985163
24000,257.23930939273686
25000,198.76554066456993
26000,198.76554066456993
27000,184.81714437876641
28000,184.81714437876641
29000,98.77346103254834
30000,59.895466824165396
31000,58.724101044562275
32000,58.724101044562275
33000,50.012934540448384
34000,38.541829579438506
35000,17.840394386773823
36000,17.840394386773823
37000,14.100717418179332
38000,14.100717418179332
39000,11.699226547656368
40000,6.809867440970899
41000,4.940889939874746
42000,4.1651547971092935
43000,4.1651547971092935
44000,3.0975220377507178
45000,3.051253455507412
46000,2.2016114249228007
47000,1.8331070754660628
48000,1.5236994128417165
49000,1.5121784060111823
50000,0.9975983655177018
51000,0.9975983655177018
52000,0.9975983655177018
53000,0.8995242599459184
54000,0.7949456057393883
55000,0.7068038326730721
56000,0.7068038326730721
57000,0.6106416743132994
58000,0.5756822511575962
59000,0.5756822511575962
60000,0.4196548977688348
61000,0.41350838275508534
62000,0.3130549331022855
63000,0.2628564864732486
64000,0.1713876552697031
65000,0.16620485188555367
66000,0.09241853916832175
67000,0.07807282987300454
68000,0.06972593746868389
69000,0.05509620582524221
70000,0.0333522820437139
71000,0.029560939712452276
72000,0.026595332748952396
73000,0.016239697999194887
74000,0.016239697999194887
75000,0.00783892553492333
76000,0.007041617734555086
77000,0.007024633085465056
78000,0.0055890135993277275
79000,0.003915753539500966
80000,0.0028797955716822585
81000,0.002859573497253834
82000,0.002506852588564243
83000,0.002133909446747303
84000,0.001731042610253296
85000,0.0010477857588816434
86000,9.114726235600556E-4
87000,7.28985825030905E-4
88000,6.046651252052199E-4
89000,3.3220658485868794E-4
90000,2.66265543220081E-4
91000,2.66265543220081E-4
92000,2.522631567726755E-4
93000,1.772523765264145E-4
94000,1.5564026801899886E-4
95000,5.742185699344654E-5
96000,5.742185699344654E-5
97000,4.615810746877445E-5
98000,3.604158864883639E-5
99000,3.0484246018175644E-5
100000,2.7218777271630654E-5
101000,2.4947042147814468E-5
102000,2.3560453057860896E-5
103000,1.6071898825990374E-5
104000,1.6071898825990374E-5
105000,9.395930774257489E-6
106000,6.55915910036439E-6
107000,6.55915910036439E-6
108000,3.989561320877511E-6
109000,3.061413021111543E-6
110000,2.7212426083972655E-6
111000,2.7212426083972655E-6
112000,2.05436383084276E-6
113000,1.5918884530258255E-6
114000,8.848301757389935E-7
115000,1.031439931445721E-6
116000,5.126908591056892E-7
117000,5.126908591056892E-7
118000,4.1893502792717013E-7
119000,3.225170565223504E-7
120000,2.624387759909512E-7
121000,2.1960819422499517E-7
122000,1.934204241509344E-7
123000,1.0460176360962201E-7
