evalNum,bestEvalValue_0,bestEvalValue_1,bestEvalValue_2
0,489938.2573,566227.0144,544029.8361
1000,206901.7587,128291.1454,237812.2966
2000,146494.1174,128291.1454,108436.35
3000,136766.1067,128291.1454,108436.35
4000,100112.0237,79262.5646,90443.42683
5000,55501.13465,76530.23219,90443.42683
6000,55501.13465,52522.35171,60099.93388
7000,55501.13465,42673.27685,58091.01484
8000,55501.13465,38897.67096,51707.07216
9000,35042.15625,31768.77582,27323.64409
10000,26704.83312,16453.91481,27888.43353
11000,25296.45433,16365.33266,20458.71202
12000,19677.55186,13745.51661,17033.92673
13000,14134.60933,12029.06165,14498.90811
14000,12856.39761,9569.168718,12142.96094
15000,12355.64699,9569.168718,9422.571595
16000,8530.610556,5794.354355,8023.773279
17000,4818.881646,5779.661319,6511.143355
18000,4818.881646,4039.42752,3856.803288
19000,5669.367471,4039.42752,4313.556102
20000,3436.053902,2287.901815,2716.295758
21000,3333.956748,2287.901815,1892.735528
22000,3102.999609,1737.758676,1362.351131
23000,1854.713919,1593.661741,1753.782186
24000,1564.168421,1280.337314,917.1747708
25000,948.5875482,789.9998666,917.1747708
26000,948.5875482,789.9998666,1011.981552
27000,948.5875482,788.6468127,564.0716544
28000,677.2447579,789.9998666,881.4635701
29000,544.0688205,508.4013803,527.8423789
30000,359.6968493,508.231212,396.712431
31000,374.3355598,356.0116114,329.5753285
32000,347.665734,208.4986145,276.6934356
33000,240.1905375,172.6262004,162.9500206
34000,142.058331,172.6262004,244.3575842
35000,98.28421853,91.96599541,162.4679767
36000,98.28421853,132.4813137,134.8164096
37000,84.97301745,61.36382041,99.12727085
38000,76.35225599,66.31126223,81.4088905
39000,39.6508532,66.31126223,67.51503835
40000,39.6508532,15.44507328,41.1371409
41000,43.42783888,37.35922304,40.15273694
42000,38.30673152,30.82292654,32.46052493
43000,31.01138778,20.41226383,20.76729985
44000,18.38034616,24.73040883,16.89510818
45000,14.04047808,16.21034768,17.78659677
46000,12.63179874,11.71161857,5.802107117
47000,12.0758039,4.149017394,5.802107117
48000,7.691126114,7.521297717,5.802107117
49000,7.691126114,7.521297717,8.452524965
50000,6.766749189,6.658850101,4.888212353
51000,5.644176916,5.945156285,4.888212353
52000,3.851657734,4.913032423,2.893337123
53000,3.365112382,3.965410909,2.408687311
54000,2.68890331,3.410126227,2.408687311
55000,2.234877898,2.383834713,2.408687311
56000,1.883644049,1.74708279,2.028596052
57000,1.485494733,1.439190122,1.538729694
58000,1.11481851,1.439190122,1.12969387
59000,1.398943103,1.069486217,0.837936566
60000,1.247319424,1.069486217,0.837936566
61000,0.780225842,0.784301568,0.691527944
62000,0.725650558,0.610387561,0.5554598
63000,0.486851663,0.463079442,0.5554598
64000,0.53834156,0.544601968,0.43576513
65000,0.357466916,0.318116609,0.300004172
66000,0.357466916,0.313213779,0.300004172
67000,0.245150741,0.249521553,0.322453157
68000,0.12991015,0.173394397,0.255206932
69000,0.12991015,0.173394397,0.175832859
70000,0.12991015,0.131651998,0.199485656
71000,0.12991015,0.126199938,0.157225226
72000,0.085517793,0.107025937,0.121092485
73000,0.085517793,0.089581361,0.120819191
74000,0.084782125,0.065263847,0.089023056
75000,0.062860963,0.065263847,0.092308649
76000,0.06239686,0.055956569,0.078957177
77000,0.045765682,0.048721945,0.075265174
78000,0.029911278,0.038949508,0.060180006
79000,0.032703136,0.038949508,0.046360646
80000,0.032703136,0.028552443,0.035712759
81000,0.016682858,0.021433327,0.035712759
82000,0.016682858,0.019935271,0.032408218
83000,0.016682858,0.019935271,0.02654724
84000,0.015905234,0.01404419,0.018947243
85000,0.010538686,0.01404419,0.018597402
86000,0.010020066,0.008311123,0.012618937
87000,0.007660922,0.005348931,0.012618937
88000,0.004550685,0.006038316,0.009312618
89000,0.003979704,0.005633596,0.006190497
90000,0.003627413,0.004023431,0.006190497
91000,0.003775282,0.003718456,0.006068349
92000,0.003075551,0.003378467,0.004378446
93000,0.002903502,0.002465485,0.003934311
94000,0.002729436,0.002137789,0.002911689
95000,0.001763887,0.001321614,0.002412271
96000,0.001207025,0.001064863,0.001217081
97000,9.70E-04,0.001025819,0.001217081
98000,9.70E-04,8.92E-04,0.001218119
99000,5.65E-04,8.92E-04,0.00110567
100000,5.65E-04,5.43E-04,9.43E-04
101000,5.25E-04,3.89E-04,6.84E-04
102000,3.97E-04,3.61E-04,7.16E-04
103000,3.68E-04,3.61E-04,4.47E-04
104000,2.04E-04,3.28E-04,5.65E-04
105000,2.87E-04,1.86E-04,2.95E-04
106000,1.75E-04,1.61E-04,2.95E-04
107000,1.38E-04,1.57E-04,1.61E-04
108000,1.20E-04,1.15E-04,1.61E-04
109000,1.25E-04,1.07E-04,1.93E-04
110000,6.32E-05,5.80E-05,1.20E-04
111000,6.96E-05,7.16E-05,1.33E-04
112000,7.77E-05,4.30E-05,1.01E-04
113000,4.72E-05,4.30E-05,3.98E-05
114000,3.22E-05,4.30E-05,4.05E-05
115000,3.22E-05,2.81E-05,5.04E-05
116000,2.95E-05,2.72E-05,4.16E-05
117000,2.50E-05,1.66E-05,3.49E-05
118000,1.70E-05,1.66E-05,3.11E-05
119000,1.20E-05,1.77E-05,2.07E-05
120000,1.20E-05,1.01E-05,7.91E-06
121000,1.20E-05,8.93E-06,1.37E-05
122000,4.87E-06,8.25E-06,1.06E-05
123000,4.87E-06,6.80E-06,1.05E-05
124000,4.87E-06,5.61E-06,4.12E-06
125000,5.07E-06,3.52E-06,4.12E-06
126000,3.82E-06,2.83E-06,5.19E-06
127000,1.43E-06,2.60E-06,2.85E-06
128000,3.14E-06,2.60E-06,2.85E-06
129000,1.41E-06,2.73E-06,2.85E-06
130000,1.41E-06,1.76E-06,2.85E-06
131000,1.25E-06,1.01E-06,1.57E-06
132000,1.25E-06,9.08E-07,1.57E-06
133000,1.08E-06,8.84E-07,1.57E-06
134000,9.62E-07,6.37E-07,1.07E-06
135000,6.65E-07,3.69E-07,1.07E-06
136000,6.51E-07,3.69E-07,6.49E-07
137000,4.98E-07,3.69E-07,8.30E-07
138000,3.72E-07,3.97E-07,8.15E-07
139000,2.76E-07,2.34E-07,3.58E-07
140000,2.42E-07,2.34E-07,3.58E-07
141000,1.38E-07,2.11E-07,1.85E-07
142000,1.38E-07,1.77E-07,1.85E-07
143000,1.33E-07,1.24E-07,1.08E-07
144000,1.32E-07,1.24E-07,
