evalNum,bestEvalValue_2
0,622173.122460827
1000,123476.81397610762
2000,55291.03066965627
3000,23435.016076908025
4000,12526.126786608493
5000,4499.068645283405
6000,2477.039532297728
7000,777.1973591960517
8000,534.2388910247821
9000,176.84356862239875
10000,71.02954351798941
11000,42.04444987899121
12000,14.126124960906356
13000,8.02278771299679
14000,3.8414937157011138
15000,1.3884997287834715
16000,0.5904554604270712
17000,0.3003845707182696
18000,0.21790341786748202
19000,0.08796944306506604
20000,0.05821250248441589
21000,0.035262940649319785
22000,0.02098379166949418
23000,0.011479607960013537
24000,0.00801103486995299
25000,0.006815259899774054
26000,0.004254019419170804
27000,0.0030286466375685824
28000,0.00224096491824611
29000,0.001749794638719292
30000,0.0013250980057722597
31000,0.001085252407281328
32000,8.891411597624476E-4
33000,6.921914763491123E-4
34000,5.7996404779691E-4
35000,4.450507804746751E-4
36000,3.573572545649091E-4
37000,3.1041393140798524E-4
38000,2.4745388245528047E-4
39000,1.8169816144282774E-4
40000,1.5643882873895638E-4
41000,1.3187522581187679E-4
42000,1.2253523136210559E-4
43000,1.1320922002976296E-4
44000,1.0497347046927675E-4
45000,9.889162870261022E-5
46000,9.355147016907652E-5
47000,8.46808111207156E-5
48000,7.92424157378267E-5
49000,7.281248988788855E-5
50000,6.95118895035887E-5
51000,6.642511624102019E-5
52000,6.271414179986014E-5
53000,6.140061171893816E-5
54000,5.939590356559607E-5
55000,5.809334506131182E-5
56000,5.671566229542146E-5
57000,5.5853037160077846E-5
58000,5.485336323220723E-5
59000,5.363731754672958E-5
60000,5.2859174413131165E-5
61000,5.171202385937692E-5
62000,5.017560594304754E-5
63000,4.937886562195105E-5
64000,4.827591129415605E-5
65000,4.788837288052213E-5
66000,4.754429085312432E-5
67000,4.6869477342224925E-5
68000,4.6468770098107655E-5
69000,4.602024945985E-5
70000,4.570973903225104E-5
71000,4.544855688475137E-5
72000,4.516152878033426E-5
73000,4.456535704975955E-5
74000,4.426176755920314E-5
75000,4.372731577605484E-5
76000,4.328781340424725E-5
77000,4.3156129374464326E-5
78000,4.275157552841452E-5
79000,4.254719234614788E-5
80000,4.235835886666621E-5
81000,4.221260238270046E-5
82000,4.2061003546937E-5
83000,4.1884599353371344E-5
84000,4.17843966324469E-5
85000,4.172677343039705E-5
86000,4.1657633586814833E-5
87000,4.1577959725999456E-5
88000,4.1510915172350324E-5
89000,4.145686502614225E-5
90000,4.139114679574645E-5
91000,4.131152304511664E-5
92000,4.126677177880329E-5
93000,4.121585669523592E-5
94000,4.1164982992607764E-5
95000,4.1139617939791574E-5
96000,4.1109847732812356E-5
97000,4.1066445177871E-5
98000,4.100192919236504E-5
