evalNum,bestEvalValue_0,bestEvalValue_1,bestEvalValue_2
0,489938.2573,634561.4877,622173.1225
1000,164519.8635,103764.5576,123476.814
2000,93995.74508,54185.50428,55291.03067
3000,17123.92441,37291.39952,23435.01608
4000,8447.371395,8942.368932,12526.12679
5000,3153.730162,3015.212237,4499.068645
6000,2386.806821,2805.073075,2477.039532
7000,912.4425523,1205.145903,777.1973592
8000,354.7532901,393.5569664,534.238891
9000,170.9529631,221.5457766,176.8435686
10000,66.86686629,94.13951103,71.02954352
11000,34.03619965,61.37167051,42.04444988
12000,13.65709642,16.77995639,14.12612496
13000,7.248319288,8.6272802,8.022787713
14000,4.602690697,6.546449734,3.841493716
15000,3.21332365,3.254072588,1.388499729
16000,2.431990556,1.766249997,0.59045546
17000,1.849968057,1.282227585,0.300384571
18000,1.792812323,1.120211249,0.217903418
19000,1.620473136,0.985953709,0.087969443
20000,1.420702045,0.902443985,0.058212502
21000,1.162600773,0.810706433,0.035262941
22000,1.009080626,0.70579921,0.020983792
23000,0.809065067,0.660402281,0.011479608
24000,0.723080909,0.577501175,0.008011035
25000,0.610523562,0.532349563,0.00681526
26000,0.530079442,0.426726149,0.004254019
27000,0.444992361,0.398142613,0.003028647
28000,0.413136825,0.340712305,0.002240965
29000,0.395923884,0.3072181,0.001749795
30000,0.376691993,0.265800372,0.001325098
31000,0.358675183,0.256213376,0.001085252
32000,0.337424941,0.239615256,8.89E-04
33000,0.324070967,0.214768931,6.92E-04
34000,0.306301163,0.198099737,5.80E-04
35000,0.279232847,0.190913114,4.45E-04
36000,0.270198952,0.181243062,3.57E-04
37000,0.254468751,0.166466208,3.10E-04
38000,0.236158461,0.161086968,2.47E-04
39000,0.222282984,0.157073341,1.82E-04
40000,0.195380599,0.150404594,1.56E-04
41000,0.177440551,0.148196782,1.32E-04
42000,0.165170313,0.146075944,1.23E-04
43000,0.155277821,0.143439328,1.13E-04
44000,0.14621945,0.142278626,1.05E-04
45000,0.13601821,0.139818971,9.89E-05
46000,0.12972239,0.138602175,9.36E-05
47000,0.122899893,0.137254332,8.47E-05
48000,0.116166685,0.135635545,7.92E-05
49000,0.109996596,0.134418934,7.28E-05
