evalNum,bestEvalValue
0,489938.257340348
100,385209.0935927991
200,291435.56661367987
300,325422.25740811904
400,325422.25740811904
500,282434.32279448234
600,282434.32279448234
700,282434.32279448234
800,187269.65847843097
900,214007.55271232483
1000,135152.77483589415
1100,193291.3315757108
1200,173602.01746859905
1300,173602.01746859905
1400,173602.01746859905
1500,173602.01746859905
1600,126672.73095235102
1700,126672.73095235102
1800,126672.73095235102
1900,126672.73095235102
2000,99188.00212581748
2100,99188.00212581748
2200,80412.8366645916
2300,80412.8366645916
2400,80412.8366645916
2500,80412.8366645916
2600,80412.8366645916
2700,80412.8366645916
2800,80412.8366645916
2900,80412.8366645916
3000,80412.8366645916
3100,48034.388620244485
3200,48034.388620244485
3300,48034.388620244485
3400,48034.388620244485
3500,40095.74021718809
3600,40095.74021718809
3700,52530.79458069308
3800,52530.79458069308
3900,52530.79458069308
4000,37624.17150798877
4100,37624.17150798877
4200,37624.17150798877
4300,37624.17150798877
4400,37624.17150798877
4500,40737.834838266004
4600,31462.195936412558
4700,26605.875115412735
4800,26135.433429466248
4900,26135.433429466248
5000,26135.433429466248
5100,21230.479675736293
5200,21230.479675736293
5300,21230.479675736293
5400,21139.623735723835
5500,14903.94273706354
5600,14903.94273706354
5700,14903.94273706354
5800,17173.65097033771
5900,17173.65097033771
6000,15926.658215382917
6100,15926.658215382917
6200,15926.658215382917
6300,15926.658215382917
6400,15926.658215382917
6500,15926.658215382917
6600,15926.658215382917
6700,15926.658215382917
6800,15926.658215382917
6900,15926.658215382917
7000,11514.703469058557
7100,11514.703469058557
7200,11514.703469058557
7300,11514.703469058557
7400,10290.90868705674
7500,10290.90868705674
7600,9291.346792633847
7700,9291.346792633847
7800,8206.47636479299
7900,8206.47636479299
8000,8206.47636479299
8100,8373.123460334577
8200,8373.123460334577
8300,5824.160175134356
8400,5824.160175134356
8500,6952.9624845390335
8600,6669.330419122927
8700,6669.330419122927
8800,6669.330419122927
8900,6669.330419122927
9000,6669.330419122927
9100,5284.30355865606
9200,5284.30355865606
9300,5284.30355865606
9400,5284.30355865606
9500,5297.940016395739
9600,3128.680836939159
9700,3128.680836939159
9800,3008.6691187310553
9900,3008.6691187310553
10000,3008.6691187310553
10100,2917.6256551109054
10200,2917.6256551109054
10300,2917.6256551109054
10400,2917.6256551109054
10500,2917.6256551109054
10600,2780.1244403977034
10700,2780.1244403977034
10800,2780.1244403977034
10900,2780.1244403977034
11000,2438.769043547227
11100,2438.769043547227
11200,2438.769043547227
11300,2438.769043547227
11400,1647.7006639176466
11500,1647.7006639176466
11600,1647.7006639176466
11700,1647.7006639176466
11800,1647.7006639176466
11900,1647.7006639176466
12000,1647.7006639176466
12100,1647.7006639176466
12200,1291.9698764784328
12300,1284.0642741531772
12400,1284.0642741531772
12500,1284.0642741531772
12600,841.6494761670979
12700,841.6494761670979
12800,841.6494761670979
12900,841.6494761670979
13000,841.6494761670979
13100,841.6494761670979
13200,1001.5937678710869
13300,905.3741625048838
13400,905.3741625048838
13500,905.3741625048838
13600,905.3741625048838
13700,905.3741625048838
13800,710.7880156464267
13900,710.7880156464267
14000,710.7880156464267
14100,710.7880156464267
14200,710.7880156464267
14300,710.7880156464267
14400,710.7880156464267
14500,710.7880156464267
14600,710.7880156464267
14700,487.87012549848424
14800,487.87012549848424
14900,487.87012549848424
15000,487.87012549848424
15100,487.87012549848424
15200,487.87012549848424
15300,332.9435036368977
15400,332.9435036368977
15500,332.9435036368977
15600,332.9435036368977
15700,332.9435036368977
15800,281.00524846200364
15900,281.00524846200364
16000,267.7366251334746
16100,267.7366251334746
16200,267.7366251334746
16300,267.7366251334746
16400,267.7366251334746
16500,267.7366251334746
16600,267.7366251334746
16700,267.7366251334746
16800,241.84462054173468
16900,241.84462054173468
17000,241.84462054173468
17100,241.84462054173468
17200,207.72586306501907
17300,207.72586306501907
17400,207.72586306501907
17500,195.8070703326135
17600,195.8070703326135
17700,167.4538116123588
17800,195.8070703326135
17900,195.8070703326135
18000,182.96140468474573
18100,160.65227411369614
18200,149.79575757133662
18300,126.13658634863923
18400,126.13658634863923
18500,126.13658634863923
18600,126.13658634863923
18700,126.13658634863923
18800,140.43367055628835
18900,109.37013137653068
19000,90.37249166693
19100,90.37249166693
19200,90.37249166693
19300,90.37249166693
19400,59.483832912261974
19500,59.483832912261974
19600,59.483832912261974
19700,59.483832912261974
19800,41.490066846043966
19900,41.490066846043966
20000,41.490066846043966
20100,41.490066846043966
20200,41.490066846043966
20300,41.490066846043966
20400,41.490066846043966
20500,41.490066846043966
20600,41.490066846043966
20700,41.490066846043966
20800,41.490066846043966
20900,41.490066846043966
21000,41.490066846043966
21100,41.490066846043966
21200,41.490066846043966
21300,35.09307520461763
21400,32.656785647102076
21500,32.656785647102076
21600,32.656785647102076
21700,26.463584755819763
21800,26.463584755819763
21900,20.896238767065924
22000,20.896238767065924
22100,20.334232987210996
22200,20.334232987210996
22300,20.334232987210996
22400,20.334232987210996
22500,20.334232987210996
22600,20.334232987210996
22700,20.334232987210996
22800,20.334232987210996
22900,20.334232987210996
23000,20.334232987210996
23100,20.334232987210996
23200,20.334232987210996
23300,20.334232987210996
23400,19.443429233335163
23500,17.979608086815013
23600,17.979608086815013
23700,17.979608086815013
23800,17.979608086815013
23900,14.199033380099062
24000,14.199033380099062
24100,14.199033380099062
24200,10.486336647973053
24300,10.486336647973053
24400,10.486336647973053
24500,10.486336647973053
24600,10.486336647973053
24700,10.486336647973053
24800,10.486336647973053
24900,12.289142824992897
25000,4.916808420231343
25100,4.916808420231343
25200,4.916808420231343
25300,4.916808420231343
25400,4.916808420231343
25500,4.916808420231343
