evalNum,bestEvalValue_0,bestEvalValue_1,bestEvalValue_2
0,917477.8508,928089.3614,756094.6518
1000,494205.1999,446705.532,625977.2202
2000,309295.3903,238015.1052,319276.1577
3000,186995.5525,142649.2094,158769.9918
4000,111870.7687,121024.9986,76773.80884
5000,53814.90798,68075.47236,40698.47049
6000,44454.63017,32921.78238,23930.1168
7000,30057.73424,12134.84224,19985.66443
8000,23337.30222,12134.84224,16989.59488
9000,10596.9934,9925.242253,8732.638927
10000,5308.324163,6535.061106,8787.863265
11000,4843.206851,3981.679082,4161.056497
12000,3448.878422,3006.537867,3009.050657
13000,1853.559703,2115.633891,1631.852829
14000,1814.637602,1189.602791,1356.354357
15000,1073.327774,743.1622006,897.2185756
16000,466.4857194,711.4824058,533.7058974
17000,499.2062538,417.2445198,339.4586325
18000,356.030147,297.2560358,249.3510435
19000,262.3990989,148.7587067,193.8813736
20000,183.84711,115.8166113,107.1585834
21000,124.7760396,88.60758019,106.4772598
22000,98.56897186,84.60193392,84.65142469
23000,98.42306652,83.85187708,62.93766309
24000,84.44196109,67.83900984,63.9823266
25000,83.3800748,61.022016,52.65454874
26000,72.32432266,54.05185556,48.78047514
27000,70.46797355,51.92418353,44.91822458
28000,66.77529307,51.71166789,43.92785121
29000,61.17994025,49.04339998,42.5655276
30000,60.94395956,47.08112699,40.2148337
31000,60.35571095,46.15009935,40.19583243
32000,58.94425393,44.86256881,39.33920789
33000,57.08206797,44.81144641,37.72333594
34000,54.61921639,41.94361826,36.55532056
35000,54.61921639,40.1149188,35.40438652
36000,51.86390225,36.35544979,33.27814111
37000,49.00430455,35.59113654,31.68441837
38000,46.46244638,31.79337285,28.99916278
39000,43.32537865,28.43529292,27.61064017
40000,37.65910435,26.48419649,24.91918007
41000,36.41719672,25.32270959,22.92123275
42000,33.42902485,23.27840012,20.89961894
43000,31.55387009,20.8142653,19.40725387
44000,30.64975798,19.1096229,17.28367862
45000,26.93290591,16.24856252,15.31810724
46000,25.85987105,16.24856252,13.82760432
47000,23.51086768,15.34914434,12.73298852
48000,21.59910916,13.31807638,12.16896796
49000,20.51937514,13.12060805,10.84841718
50000,18.35125551,12.93988463,10.72836812
51000,16.70964798,12.31315093,10.28348768
52000,15.40014461,11.85471809,9.886606919
53000,13.70944059,11.63400445,9.349356598
54000,12.94913655,11.01472676,9.161475132
55000,12.31878811,10.80749532,8.799305113
56000,11.31724366,10.39473892,8.274138508
57000,10.79567704,10.06022233,7.963872752
58000,10.23796904,9.690999006,7.332757083
59000,9.474822865,9.507299752,7.254754628
60000,9.058874375,9.292928071,6.952626482
61000,8.829469322,9.167628394,6.484570396
62000,8.441136015,8.942945571,5.982699169
63000,7.802611335,8.753348234,5.722135753
64000,7.478099676,8.479147852,5.392070028
65000,7.25738219,8.321772818,5.243596715
66000,6.740863645,8.117157607,5.038151626
67000,6.85783952,7.920020911,4.672036165
68000,6.564835579,7.761770997,4.464725683
69000,6.364527876,7.652993946,4.16220231
70000,6.274826332,7.42234223,3.948246543
71000,5.976143114,7.354761388,3.705316086
72000,5.917000204,7.220478692,3.568604867
73000,5.665423922,7.068585685,3.426141985
74000,5.547641275,6.960533703,3.27742576
75000,5.345874693,6.604555355,3.14847221
76000,5.33810103,6.279818873,3.008853118
77000,5.147931421,6.216643307,2.879095178
78000,5.027447291,6.00716416,2.770026216
79000,4.911509975,5.700403935,2.640150496
80000,4.796250595,5.531406252,2.454462512
81000,4.604257424,5.109725116,2.331655454
82000,4.36679391,4.944183309,2.257804271
83000,4.26021147,4.531581049,2.043343866
84000,4.172425492,4.372871758,2.001739424
85000,4.034506853,4.155325122,1.931520723
86000,3.882411365,4.010785565,1.832526312
87000,3.768804423,3.944665117,1.670444761
88000,3.680401263,3.847171691,1.661965495
89000,3.603401864,3.724958275,1.541989739
90000,3.409462878,3.599748168,1.455116434
91000,3.31558223,3.419638914,1.351502607
92000,3.12500961,3.246391395,1.309151808
93000,3.044649216,2.995079336,1.224119356
94000,2.86324825,2.883750843,1.172867084
95000,2.695231899,2.737609195,1.135171637
96000,2.500216426,2.64897405,1.072965214
97000,2.458433845,2.530109744,1.018969652
98000,2.372952048,2.455211953,0.96787541
99000,2.292627567,2.174091887,0.912857883
100000,2.179781833,2.144249272,0.87725487
101000,2.112480601,1.9719117,0.845353069
102000,2.022116636,1.907735257,0.808944658
103000,1.949674883,1.853991892,0.788573531
104000,1.807818358,1.79942584,0.768558591
105000,1.62174713,1.734320527,0.737920478
106000,1.44305382,1.709203684,0.731191604
107000,1.340219692,1.659862814,0.705505353
108000,1.205927892,1.595594423,0.678696561
109000,1.066353511,1.531553901,0.653108773
110000,1.027076776,1.490462521,0.636825955
111000,0.9610981,1.452073998,0.617964853
112000,0.897836399,1.40293504,0.593875561
113000,0.856459837,1.392527529,0.561309364
114000,0.776210132,1.333973072,0.54907469
115000,0.750587151,1.322060021,0.528357562
116000,0.725648792,1.293270267,0.506758444
117000,0.707662454,1.26422004,0.489551841
118000,0.64492435,1.253047994,0.468471846
119000,0.615542463,1.228583632,0.469448326
120000,0.567180563,1.206576836,0.453909293
121000,0.53111976,1.190138953,0.443585863
