evalNum,bestEvalValue_2
0,756094.6517881928
1000,625977.220239419
2000,319276.1577202754
3000,158769.99178364052
4000,76773.80883685038
5000,53755.48521595464
6000,33548.466435681505
7000,26648.624077952983
8000,9175.16713921009
9000,8386.116053019425
10000,8209.016639758425
11000,3769.6368314944953
12000,3769.6368314944953
13000,1941.8254739381189
14000,1137.714274980668
15000,891.5126792373472
16000,670.2694445688244
17000,555.4143400931139
18000,388.4041362745824
19000,247.5038984590828
20000,162.88030270434754
21000,107.46592289396813
22000,68.83685389718961
23000,68.83685389718961
24000,62.92005958993162
25000,54.33748597834522
26000,53.06154141334218
27000,47.42112164424211
28000,46.10279995880031
29000,42.859590628161236
30000,42.859590628161236
31000,41.07108241521705
32000,40.136846070820475
33000,39.13103275736379
34000,38.197886418948876
35000,38.06901016881608
36000,36.29439566815643
37000,34.30273250980398
38000,33.602402565336035
39000,31.235583504092272
40000,30.038539001224105
41000,26.777397686850403
42000,25.12182025972574
43000,23.114957548339238
44000,22.22502189835934
45000,21.14125102191756
46000,18.25800673067392
47000,16.764452071641106
48000,14.695241857566327
49000,13.276037586438258
50000,12.490263280824715
51000,10.272456662068175
52000,9.404502342059613
53000,8.655305302965855
54000,8.0752048249431
55000,7.534860082341167
56000,6.780650837810357
57000,5.668037203190767
58000,4.562940996971795
59000,4.179296522604888
60000,3.649052433687916
61000,3.5839896780066978
62000,3.043511843939628
63000,2.987116161380826
64000,2.7643359085727703
65000,2.563263792060502
66000,2.5034790984533672
67000,2.2548720549597414
68000,2.050858588075507
69000,1.7824553396432221
70000,1.6343251412063668
71000,1.3503015049923566
72000,1.2340724809452424
73000,1.065493275012491
74000,1.0339294875735754
75000,0.942232700764889
76000,0.858896330871613
77000,0.8116916535286898
78000,0.7325145625398426
79000,0.6563986496663696
80000,0.6027189385367401
81000,0.5939230376342454
82000,0.515822359673553
83000,0.48745071907278864
84000,0.42236597701381
85000,0.4141433693188179
86000,0.3692810438851455
87000,0.2929282860826541
88000,0.2766822115392583
89000,0.23311512399843967
90000,0.22011218804970006
91000,0.1921966302114498
92000,0.18706675177804633
93000,0.16939195747098557
94000,0.1492369426475937
95000,0.13863077879751967
96000,0.12199844505573232
97000,0.11010873894156789
98000,0.1048304297724566
99000,0.09609718474031612
100000,0.08979729520224065
101000,0.08122135789848973
102000,0.07435423011732441
103000,0.07435423011732441
104000,0.07019605718794558
105000,0.061274815420413624
106000,0.061274815420413624
107000,0.058523182915643235
108000,0.05614631270008107
109000,0.05377901606332806
110000,0.049858688673159395
111000,0.04482906131808685
112000,0.04207469917431221
113000,0.03866744314444029
114000,0.03357009102633578
115000,0.03174991378134188
116000,0.03050897745646703
117000,0.027897327058770717
118000,0.02747155615963595
119000,0.026352317328732354
120000,0.02554873423420588
121000,0.024697730995400066
122000,0.02377167063126084
123000,0.022725262539189904
124000,0.02169103142872999
125000,0.020557801553816417
126000,0.018863095647646978
127000,0.017866682153515556
128000,0.01704109069063826
129000,0.01639979315526786
130000,0.01601032429043832
131000,0.01536003358483201
132000,0.014451371487792509
133000,0.013643075580112315
134000,0.013124027235558083
135000,0.012329767299793133
136000,0.011594146948343875
137000,0.010723420958921826
138000,0.010125820776916991
139000,0.009550961870253389
140000,0.00887049488134048
141000,0.00817310817972621
142000,0.007896679862188718
143000,0.007489287487622382
144000,0.007179030038362022
145000,0.006876323019203725
146000,0.00648615507178159
147000,0.006133386992312342
148000,0.005667707847428716
